codigo,latitude,longitude,updated_at
CA-LML-0054-A7,-28.376479,-49.444752,2026-08-29T20:00:00Z
CA-LML-0008-B4,-28.3933916,-49.39391788,2026-08-29T20:00:00Z
CA-LML-0012-A1,-28.39118625,-49.39188,2026-08-29T20:00:00Z
CA-MFU-0007-A8,-28.664273,-49.210963,2026-08-29T20:00:00Z
CA-MFU-0027-A5,-28.66786,-49.207876,2026-08-29T20:00:00Z
CA-MFU-0068-A2,-28.648174,-49.192624,2026-08-29T20:00:00Z
CA-MFU-0013-A1,-28.658268,-49.2071,2026-08-29T20:00:00Z
CA-MFU-0019-A4,-28.643141,-49.202878,2026-08-29T20:00:00Z
CA-MFU-0002-A1,-28.656143,-49.214418,2026-08-29T20:00:00Z
CA-MFU-0004-A6,-28.660278,-49.212294,2026-08-29T20:00:00Z
CA-MFU-0011-A7,-28.6546,-49.21074,2026-08-29T20:00:00Z
CA-MFU-0019-B3,-28.648176,-49.20537,2026-08-29T20:00:00Z
CA-MFU-0018-A2,-28.649214,-49.2082,2026-08-29T20:00:00Z
CA-MFU-0008-A6,-28.652861,-49.213389,2026-08-29T20:00:00Z
CA-SIE-0022-A1,-28.630854,-49.484392,2026-08-29T20:00:00Z
CA-NZA-0002-A5,-28.643887,-49.50264,2026-08-29T20:00:00Z
CA-NZA-0006-A1,-28.637052,-49.505521,2026-08-29T20:00:00Z
CA-NZA-0080-A1,-28.631857,-49.503139,2026-08-29T20:00:00Z
CA-NZA-0076-A1,-28.63632927,-49.49934027,2026-08-29T20:00:00Z
CA-NZA-0069-A8,-28.641598,-49.502531,2026-08-29T20:00:00Z
CA-NZA-0068-A8,-28.63905594,-49.50145203,2026-08-29T20:00:00Z
CA-NZA-0029-A3,-28.674197,-49.468663,2026-08-29T20:00:00Z
CA-CUA-0363-A1,-28.652202,-49.441093,2026-08-29T20:00:00Z
CA-CUA-1199-A1,-28.651,-49.441188,2026-08-29T20:00:00Z
CA-CUA-0357-A4,-28.659921,-49.441921,2026-08-29T20:00:00Z
CA-NZA-0031-A6,-28.653105,-49.469146,2026-08-29T20:00:00Z
CA-NZA-0020-A4,-28.70944,-49.494442,2026-08-29T20:00:00Z
CA-OLS-0128-A8,-28.349641,-49.258419,2026-08-29T20:00:00Z
CA-OLS-0074-A3,-28.363237,-49.284088,2026-08-29T20:00:00Z
